figure,swept,m,n,t,log2_T_Prange,log2_T_RP,bit_gain,ratio_C,eff_exponent_RP,eff_exponent_Prange,levels
"plot(2^12,1589,172,n+)",n,4096,1730,172,170.91094342246856,161.58642911811506,9.3245143043535,0.9454422629842691,1.9954635671727863,2.8623315521270496,22
"plot(2^12,1589,172,n+)",n,4096,1750,172,173.14406261521046,163.7411472145044,9.402915400706064,0.9456931109350092,1.9894079418041828,2.8622190343073823,22
"plot(2^12,1589,172,n+)",n,4096,1770,172,175.39611336383282,165.9141631183071,9.481950245525724,0.9459397927144666,1.9832984493163073,2.862108466276199,21
"plot(2^12,1589,172,n+)",n,4096,1790,172,177.66745667737365,168.1052111133712,9.562245564002438,0.9461789697290116,1.9770773166626743,2.8619997872614915,21
"plot(2^12,1589,172,n+)",n,4096,1810,172,179.95846268463245,170.3152422570797,9.643220427552762,0.9464141875647605,1.970798702349033,2.8618929391736687,21
"plot(2^12,1589,172,n+)",n,4096,1830,172,182.26951099869413,172.55380919558056,9.715701803113575,0.9466959572674599,1.965309240040713,2.8617878664545358,21
"plot(2^10,652,106,t+)",t,1024,652,115,213.77247401131174,202.2623142113679,11.510159799943835,0.9461569603234569,1.6409347123130276,2.8721353216423866,7
"plot(2^10,652,106,t+)",t,1024,652,120,222.9256026978239,211.28847685585953,11.637125841964377,0.9477981635974827,1.6273536090949308,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,125,232.1817059434369,220.44725146564966,11.734454477787239,0.9494600385068842,1.6169427131722791,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,130,241.54344833572708,229.71162420705616,11.831824128670917,0.9510157521961615,1.606527430015328,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,135,251.0136110289249,239.09075782871145,11.922853200213467,0.9525011685567937,1.5967903759432849,2.8721353216423835,6
"plot(2^10,652,106,t+)",t,1024,652,140,260.5950992228694,248.56927654087292,12.025822681996488,0.9538524603192494,1.5857760989117735,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,145,270.29095028816295,258.1623668139543,12.128583474208654,0.9551276745992491,1.5747841446569386,2.8721353216423835,6
"plot(2^10,652,106,t+)",t,1024,652,150,280.1043426087049,267.9061960466045,12.198146562100362,0.9564514193229031,1.5673432300486532,2.8721353216423835,6
"plot(2^10,652,106,t+)",t,1024,652,155,290.0386052223021,277.74708078874716,12.291524433554969,0.9576210745320126,1.5573549332542518,2.8721353216423804,6
"plot(2^10,652,106,t+)",t,1024,652,160,300.09722835121005,287.73656783775726,12.360660513452785,0.9588111473692558,1.5499596941632028,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,165,310.2838749274685,297.8485327976845,12.435342129783976,0.9599226929446758,1.5419712688823382,2.8721353216423866,6
"plot(2^10,652,106,t+)",t,1024,652,170,320.6023932330495,308.06431456352175,12.53807866952775,0.9608921239074667,1.5309819088272727,2.8721353216423866,5
"plot(2^10,652,106,t+)",t,1024,652,175,331.0568307925962,318.45479888511994,12.60203190747626,0.9619339317744774,1.5241410597948226,2.8721353216423866,5
"plot(2^10,652,106,t+)",t,1024,652,180,341.65144967755714,328.96440543816317,12.68704423939397,0.9628655337146448,1.5150475948319666,2.8721353216423804,5
"plot(2^10,652,106,t+)",t,1024,652,185,352.39074340520875,339.6242097365789,12.766533668629847,0.9637716543140017,1.5065448950075095,2.8721353216423804,5
"plot(2^10,652,106,t+)",t,1024,652,190,363.2794556454875,350.4427871837512,12.83666846173628,0.9646644800242622,1.4990428271380276,2.8721353216423866,5
"plot(2^10,652,106,t+)",t,1024,652,195,374.3226009836011,361.4291749160838,12.893426067517282,0.9655553096883879,1.4929716691318708,2.872135321642393,5
"plot(2^10,652,106,t+)",t,1024,652,200,385.5254880282824,372.5232325513181,13.002255476964308,0.9662739406842785,1.4813305766055285,2.872135321642393,4
"plot(2^10,652,106,t+)",t,1024,652,205,396.89374520606464,383.8150431810981,13.07870202496656,0.9670473465935419,1.4731533628989013,2.8721353216423866,4
"plot(2^12,1589,172,t+)",t,4096,1589,180,161.67379524268227,152.78240425477503,8.891390987907243,0.9450041302329748,2.0270498492131273,2.863185992794289,22
"plot(2^12,1589,172,t+)",t,4096,1589,190,169.19423606945574,160.15202463164061,9.042211437815126,0.9465572134850787,2.012866868222789,2.863185992794289,21
"plot(2^12,1589,172,t+)",t,4096,1589,200,176.73999863203113,167.5477258301819,9.192272801849242,0.947989855873048,1.9987552707916714,2.863185992794289,19
"plot(2^12,1589,172,t+)",t,4096,1589,210,184.31125793569583,174.989251488923,9.322006446772832,0.9494224793906774,1.9865552685977885,2.863185992794289,19
"plot(2^12,1589,172,t+)",t,4096,1589,220,191.9081908465357,182.45970041348852,9.44849043304717,0.9507655697687083,1.9746608605516196,2.863185992794289,18
"plot(2^12,1589,172,t+)",t,4096,1589,230,199.5309761184569,189.96102813499482,9.569947983462072,0.9520377829566643,1.9632391327307588,2.863185992794289,18
"plot(2^12,1589,172,t+)",t,4096,1589,240,207.17979442068534,197.4964007059728,9.683393714712537,0.953260916481797,1.9525708271346471,2.863185992794289,17
"plot(2^12,1589,172,t+)",t,4096,1589,250,214.85482836585408,205.06610808852028,9.788720277333795,0.954440305801899,1.9426660387830186,2.863185992794289,17
"plot(2^12,1589,172,t+)",t,4096,1589,260,222.55626253854984,212.65620204117255,9.900060497377297,0.9555165943907669,1.9321957330300417,2.863185992794289,15
"plot(2^12,1589,172,t+)",t,4096,1589,270,230.284283524408,220.2872896493483,9.996993875059701,0.9565884665594206,1.9230802301003096,2.863185992794289,15
"plot(2^12,1589,172,t+)",t,4096,1589,280,238.03907993977714,227.951105106303,10.087974833474135,0.9576205098926347,1.9145244858065962,2.863185992794289,15
"plot(2^12,1589,172,t+)",t,4096,1589,290,245.82084246192673,235.64558942714064,10.175253034786095,0.9586070370076042,1.906316944516045,2.863185992794289,15
"plot(2^12,1589,172,t+)",t,4096,1589,300,253.62976385983998,243.37207776241567,10.257686097424312,0.9595564576439346,1.8985650344727634,2.863185992794289,15
"plot(2^12,1589,172,t+)",t,4096,1589,310,261.46603902559997,251.12168030924983,10.344358716350143,0.9604370848508653,1.890414441450669,2.8631859927942864,14
"plot(2^12,1589,172,t+)",t,4096,1589,320,269.32986500636076,258.90369919631286,10.426165810047905,0.9612884898234302,1.8827213968038825,2.863185992794289,13
"plot(2^12,1589,172,t+)",t,4096,1589,330,277.22144103694575,266.71557592720075,10.505865109745002,0.9621029849983903,1.8752265666715127,2.863185992794289,13
"plot(2^12,1589,172,t+)",t,4096,1589,340,285.1409685731022,274.561478147372,10.579490425730228,0.962897332927387,1.8683029269551221,2.863185992794289,12
